stn,wban,c,year
939440,99999,340,1988
990170,99999,339,1983
990170,99999,338,1985
939440,99999,337,1987
939440,99999,335,1984
939440,99999,335,1983
939440,99999,335,1981
939440,99999,333,1982
030050,99999,332,1998
939440,99999,330,1986
030030,99999,330,1983
030050,99999,329,1988
030050,99999,329,1990
030050,99999,329,1995
030170,99999,329,1998
939440,99999,327,1985
030260,99999,326,1986
990170,99999,326,1984
030030,99999,325,1988
030050,99999,325,1989
030050,99999,325,1983
030050,99999,325,1992
030030,99999,325,1984
030030,99999,324,1986
030260,99999,324,1981
030170,99999,324,1995
039760,99999,324,1998
031000,99999,324,1992
913480,40504,322,1990
030170,99999,322,1989
912850,21504,322,1994
030030,99999,321,1985
039760,99999,321,1999
030170,99999,321,1994
990170,99999,321,1981
030250,99999,321,1988
949980,99999,321,1993
030170,99999,321,1990
949980,99999,321,1990
030170,99999,320,1988
689940,99999,320,1982
030260,99999,320,1992
039760,99999,319,1992
030050,99999,319,1993
030030,99999,319,1990
030260,99999,319,1994
939440,99999,319,1989
030050,99999,319,1999
913480,40504,319,1991
039800,99999,319,1988
990080,99999,319,1984
030260,99999,319,1990
039800,99999,319,1986
912850,21504,319,1990
913480,40504,319,1989
030030,99999,318,1981
912850,21504,318,1988
030050,99999,318,1986
030050,99999,318,1981
030170,99999,317,1992
030170,99999,317,1981
030170,99999,317,1986
039730,99999,317,1998
913480,40504,317,1999
030220,99999,317,1988
030220,99999,317,1986
030260,99999,317,1988
030030,99999,317,1989
030260,99999,317,1989
030250,99999,317,1986
039760,99999,316,1994
990080,99999,316,1985
912180,99999,316,1997
990170,99999,315,1982
912180,99999,315,1989
030260,99999,315,1998
030050,99999,315,1985
030250,99999,315,1992
030050,99999,315,1984
030030,99999,314,1992
039800,99999,314,1992
990080,99999,314,1983
990080,99999,314,1986
030260,99999,314,1983
912120,41415,314,1982
039800,99999,314,1998
990080,99999,313,1981
039530,99999,313,1998
912850,21504,313,1984
039170,99999,313,1998
030220,99999,313,1981
039760,99999,313,1983
039530,99999,313,1994
030220,99999,313,1983
030170,99999,313,1983
030220,99999,313,1990
949980,99999,313,1987
039760,99999,312,1988
039760,99999,312,1981
030050,99999,312,1991
031000,99999,312,1988
039530,99999,311,1986
031620,99999,311,1998
030170,99999,311,1991
859720,99999,311,1996
964130,99999,311,1984
990080,99999,311,1989
912180,99999,311,1999
030630,99999,310,1998
030050,99999,310,1996
039760,99999,310,1990
912180,99999,310,1990
859300,99999,310,1997
030170,99999,310,1985
913480,40504,310,1988
859300,99999,309,1996
912120,41415,309,1981
030250,99999,309,1994
859300,99999,309,1986
913480,40504,309,1993
030170,99999,309,1997
030030,99999,309,1995
039800,99999,309,1994
030050,99999,308,1994
039760,99999,308,1986
030030,99999,308,1982
030250,99999,308,1990
689940,99999,307,1998
030050,99999,307,1982
912180,99999,307,1986
030170,99999,307,1993
039800,99999,307,1999
039730,99999,307,1999
039170,99999,307,1986
030030,99999,307,1987
030050,99999,307,1987
030750,99999,306,1981
030750,99999,306,1988
039170,99999,306,1994
912120,41415,306,1990
030260,99999,306,1996
030260,99999,306,1991
990180,99999,306,1983
030170,99999,306,1996
039760,99999,306,1989
912180,99999,306,1996
031000,99999,306,1998
030260,99999,306,1999
990180,99999,306,1981
031000,99999,306,1994
030030,99999,305,1991
030630,99999,305,1988
031000,99999,305,1993
689940,99999,305,1983
912120,41415,305,1986
039760,99999,304,1982
913480,40504,304,1996
912850,21504,304,1998
912850,21504,304,1999
039530,99999,304,1981
990080,99999,304,1987
039800,99999,304,1981
030080,99999,304,1990
030030,99999,304,1993
030080,99999,304,1989
030040,99999,304,1989
990180,99999,304,1989
031400,99999,304,1998
039760,99999,304,1985
031000,99999,304,1983
031000,99999,304,1990
030220,99999,304,1987
030250,99999,304,1989
030260,99999,304,1984
913340,40505,304,1989
031020,99999,303,1994
030170,99999,303,1982
039800,99999,303,1990
031000,99999,303,1999
913480,40504,303,1986
030050,99999,303,1997
030750,99999,303,1986
689060,99999,303,1997
039760,99999,303,1995
949980,99999,303,1991
030080,99999,303,1988
060110,99999,303,1997
030250,99999,303,1993
912120,41415,302,1985
619670,70701,302,1983
031400,99999,302,1986
030750,99999,302,1990
039170,99999,302,1992
030260,99999,302,1997
030750,99999,302,1992
039760,99999,302,1987
689940,99999,302,1987
030220,99999,302,1982
031400,99999,302,1988
030220,99999,302,1989
030630,99999,302,1986
912180,99999,301,1995
964130,99999,301,1989
030260,99999,301,1985
689940,99999,301,1997
030660,99999,301,1983
030250,99999,301,1985
031000,99999,301,1982
704540,25704,301,1992
039640,99999,301,1986
949980,99999,301,1986
689940,99999,301,1999
030260,99999,301,1993
030260,99999,301,1995
912850,21504,300,1997
039800,99999,300,1989
